,Name,Breed,Birth,Gender,Fur,Number,Title,Father,Mother
41,Sinh Nanda af Silverbäcken,Helig birma (SBI),1976-10-11,Hona,brunmaskad (n),(SE)SVERAK LO 22861,,(SE)SVERAK LO 18214,(SE)SVERAK LO 20297
42,Sinh Paletwa af Silverbäcken,Helig birma (SBI),1977-03-04,Hona,brunmaskad (n),(SE)SVERAK LO 24012,,(SE)SVERAK LO 20014,(SE)SVERAK LO 12802
43,Juveniles Taiwan,Helig birma (SBI),1977-03-03,Hane,brunmaskad (n),(SE)SVERAK LO 24020,,(SE)SVERAK LO 20908,(SE)SVERAK LO 20059
44,Hassellidens Thai,Helig birma (SBI),1977-04-05,Hane,brunmaskad (n),(SE)SVERAK LO 24024,IC,(SE)SVERAK LO 20936,(SE)SVERAK LO 18480
45,Querida de Crespieres,Helig birma (SBI),,Hona,brunmaskad (n),(NL)NKS 6684,,(FR)LOF 8661,(FR)LOF 8801
46,Izmir du Petit Serail,Helig birma (SBI),1969-01-15,Hane,brunmaskad (n),(NL)NKS 20-357  (SE)SVERAK LO 14140,IC,(DE)DEV B 570,(NL)NKS 6684
47,Smokeyhill Kwai Ling,Helig birma (SBI),1974-08-19,Hane,blåmaskad (a),(GB)GCCF NS 014799  (SE)SVERAK LO 20711,IC,(GB)GCCF NS 012803,(GB)GCCF OS 238653
48,Smokeyhill Soo Myling,Helig birma (SBI),1974-03-31,Hona,brunmaskad (n),(GB)GCCF OS 265989  (SE)SVERAK LO 20710,IC,(GB)GCCF OS 208747 *IMP-D,(GB)GCCF OS 189362
49,Chinospin's Minh Wisjnu,Helig birma (SBI),1972-04-20,Hane,brunmaskad (n),(SE)SVERAK LO 16617,IC,(SE)SVERAK LO 14140,(SE)SVERAK LO 12803
50,Cheapthrills Janis,Helig birma (SBI),1975-07-18,Hona,brunmaskad (n),(SE)SVERAK LO 20786,"IP,,,IC",(SE)SVERAK LO 20711,(SE)SVERAK LO 20710
51,Cheapthrills Salomo,Helig birma (SBI),1977-05-05,Hane,brunmaskad (n),(SE)SVERAK LO 24283,IC,(SE)SVERAK LO 16617,(SE)SVERAK LO 20786
52,Gentiana's Perry,Helig birma (SBI),1968-07-22,Hane,brunmaskad (n),(NL)NKS 20-219  (SE)SVERAK RX 12313,,(NL)NKS 6081,(NL)NKS 6082
53,Rosine de Pouh-Miloh,Helig birma (SBI),1968-04-05,Hona,brunmaskad (n),(FR)FFF RX R2462  (SE)SVERAK RX 12799,,(FR)LOF R932,(FR)LOF R667
54,Sinh Edina af Silverbäcken,Helig birma (SBI),1970-09-02,Hona,brunmaskad (n),(SE)SVERAK LO 14645,,(SE)SVERAK LO 12311,(SE)SVERAK RX 12314
55,Fornhöjdens Albert,Helig birma (SBI),1973-01-25,Hane,brunmaskad (n),(SE)SVERAK RX 18070,,(SE)SVERAK RX 12313,(SE)SVERAK RX 12799
56,Cochise Anemone,Helig birma (SBI),1972-06-25,Hona,brunmaskad (n),(SE)SVERAK LO 16770,IC,(SE)SVERAK LO 14140,(SE)SVERAK LO 14645
57,Fornhöjdens Darmagne,Helig birma (SBI),1974-01-08,Hona,brunmaskad (n),(SE)SVERAK LO 18796,,(SE)SVERAK RX 18070,(SE)SVERAK LO 16770
58,Darmagne's Blue Francesco,Helig birma (SBI),1978-01-01,Hane,blåmaskad (a),(SE)SVERAK LO 24832,IC,(SE)SVERAK LO 20936,(SE)SVERAK LO 18796
59,Fornhöjdens Alexander,Helig birma (SBI),1973-01-25,Hane,brunmaskad (n),(SE)SVERAK RX 18068,,(SE)SVERAK RX 12313,(SE)SVERAK RX 12799
60,Sinh Labelle af Silverbäcken,Helig birma (SBI),1971-11-22,Hona,brunmaskad (n),(SE)SVERAK LO 16400,,(SE)SVERAK LO 12311,(SE)SVERAK RX 12314
61,Sinh Elgena af Silverbäcken,Helig birma (SBI),1976-02-18,Hona,brunmaskad (n),(SE)SVERAK LO 22217,,(SE)SVERAK RX 18068,(SE)SVERAK LO 16400
62,Kattlangarna's Chainpur,Helig birma (SBI),1978-06-14,Hane,brunmaskad (n),(SE)SVERAK LO 24960 B,,(SE)SVERAK LO 24283,(SE)SVERAK LO 22217
63,El Dinn de Madalpour,Helig birma (SBI),,Hane,brunmaskad (n),(FR)LOF 2047,,(FR)LOF 2854,SBI x ·
64,Egerie de Madalpour,Helig birma (SBI),,Hona,brunmaskad (n),(FR)LOF 1851,,(FR)LOF 2854,(FR)LOF 1547
65,Giglio des Muses,Helig birma (SBI),,Hane,brunmaskad (n),(FR)LOF 7853  (FR)UNAF 49,,(FR)LOF UNAF 24,(FR)LOF 1852
66,Iris de Clos Fleuri,Helig birma (SBI),,Hona,brunmaskad (n),(PT)CFP 1086,,(FR)LOF 2429,(FR)LOF UNAF 64
67,Qui-Ly-Khan de Ranchipur,Helig birma (SBI),,Hane,brunmaskad (n),(DE)DEV B 585*IMP,IC,(FR)LOF 8661,(FR)LOF R1517
