,Name,Breed,Birth,Gender,Fur,Number,Title,Father,Mother
308,Panjandrum Brocade,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 226159,,(GB)GCCF NS 055329,(GB)GCCF NS 172471
309,Laurant Kubla Khan,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 294567,,(GB)GCCF NS 258221,(GB)GCCF NS 171657
310,Panjandrum Fleur,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 297419,,(GB)GCCF NS 258221,(GB)GCCF NS 226159
311,Panjandrum Idris Gawr,Helig birma (SBI),1986-04-14,Hane,blåmaskad (a),(GB)GCCF CS 016529  (SE)SVERAK LO 56563,EC,(GB)GCCF NS 294567,(GB)GCCF NS 297419
312,Hassellidens Siska,Helig birma (SBI),1980-06-02,Hona,blåmaskad (a),(SE)SVERAK LO 34176,,(SE)SVERAK LO 24024,(SE)SVERAK LO 22659
313,Hassellidens Blue Jinnie,Helig birma (SBI),1982-08-20,Hona,blåmaskad (a),(SE)SVERAK LO 40176,,(SE)SVERAK LO 30636,(SE)SVERAK LO 34176
314,Heligholms Isa-Bella,Helig birma (SBI),1978-05-29,Hona,brunmaskad (n),(SE)SVERAK LO 26310,,(SE)SVERAK LO 20711,(SE)SVERAK LO 22861
315,Lugnet's Brown Aquilo Yam,Helig birma (SBI),1984-02-24,Hane,brunmaskad (n),(SE)SVERAK LO 50107,CH,(SE)SVERAK LO 40458,(SE)SVERAK LO 40176
316,Cassandra,Helig birma (SBI),1980-04-06,Hona,brunmaskad (n),(SE)SVERAK LO 32004,,(SE)SVERAK LO 24960 B,(SE)SVERAK LO 26310
317,Biseros Ranya,Helig birma (SBI),1987-01-10,Hona,brunmaskad (n),(SE)SVERAK LO 56722,,(SE)SVERAK LO 50107,(SE)SVERAK LO 32004
318,S*Jerkholmens Dexippos,Helig birma (SBI),1987-01-05,Hane,brunmaskad (n),(SE)SVERAK LO 56767,GIC,(SE)SVERAK LO 32877,(SE)SVERAK LO 40067
319,Namrib Bronzino,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 168767,,(GB)GCCF NS 055329,(GB)GCCF NS 093586
320,Belleview Blue Chaucer,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 111700,,(GB)GCCF NS 091899,(GB)GCCF NS 053657
321,Carmo Bianca,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 095842,,(GB)GCCF NS 033060,(GB)GCCF NS 055528
322,Birchtree Cinnibar,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 211959,,(GB)GCCF NS 134608,(GB)GCCF NS 168767
323,Stokefield Blue Toyah,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 223616,,(GB)GCCF NS 111700,(GB)GCCF NS 095842
324,Joyspurr Super Truffles,Helig birma (SBI),1987-01-27,Hane,brunmaskad (n),(GB)GCCF CS 029027  (SE)SVERAK LO 57159,,(GB)GCCF NS 211959,(GB)GCCF NS 223616
325,Salwana Chee Boo,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 033060,,(GB)GCCF NS 012803,(GB)GCCF OS 238653
326,Tamara,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 055528,CH,(GB)GCCF OS 223810,(GB)GCCF NS 034289
327,Menelik Midas,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 092341,,(GB)GCCF NS 033154,(GB)GCCF NS 014643
328,Marcha Mi Christabelle,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 053710,,(GB)GCCF OS 152530*IMP-F,(GB)GCCF NS 029085
329,Ciarella Boni Kara,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 093586,CH,(GB)GCCF OS 152530*IMP-F,(GB)GCCF NS 035843
330,Änghagens Ido,Helig birma (SBI),1985-03-20,Hane,brunmaskad (n),(SE)SVERAK LO 50699,,(SE)SVERAK LO 32877,(SE)SVERAK LO 30262
331,Rocheros Bertha,Helig birma (SBI),1985-05-12,Hona,chokladmaskad (b),(GB)GCCF CS 010983 EXP  (SE)SVERAK LO 56434,,(GB)GCCF EX 154462,(GB)GCCF EX 154464
332,Änghagens Nikodemus,Helig birma (SBI),1987-05-16,Hane,brunmaskad (n),(SE)SVERAK LO 57239,,(SE)SVERAK LO 50699,(SE)SVERAK LO 56434
333,Mandessa Brita,Helig birma (SBI),,Hona,chokladmaskad (b),(GB)GCCF NS 048098 SR,,(GB)GCCF NS 023604 SR,(GB)GCCF NS 039673 SR
334,Marcha Mischief Maker,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 134608,,(GB)GCCF NS 092341,(GB)GCCF NS 053710
335,Shwechinthe Dainty Dixi,Helig birma (SBI),,Hona,chokladmaskad (b),(GB)GCCF EX 154150,,(GB)GCCF EX 154026,(GB)GCCF EX 154024
336,Shwechinthe Eros,Helig birma (SBI),,Hane,lilamaskad (c),(GB)GCCF EX 154585,,(GB)GCCF EX 154026,(GB)GCCF NS 048098 SR
337,Namrib Jonty,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 225311,,(GB)GCCF NS 134608,(GB)GCCF EX 154150
338,Shwechinthe Elsa,Helig birma (SBI),,Hona,chokladmaskad (b),(GB)GCCF EX 154323,,(GB)GCCF EX 154026,(GB)GCCF NS 048503 SR
339,Namrib Quincy,Helig birma (SBI),,Hane,lilamaskad (c),(GB)GCCF EX 154694,,(GB)GCCF EX 154585,(GB)GCCF NS 225311
340,Shwechinthe Yoma,Helig birma (SBI),,Hona,chokladmaskad (b),(GB)GCCF EX 154467,,(GB)GCCF EX 154021,(GB)GCCF EX 154323
341,Shwechinthe Lashio,Helig birma (SBI),1986-07-17,Hane,chokladmaskad (b),(GB)GCCF CS 021755 EXP  (SE)SVERAK LO 57447,,(GB)GCCF EX 154694,(GB)GCCF EX 154467
342,Larkrose,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 146050,,(GB)GCCF NS 075182,(GB)GCCF NS 033977
343,Praha Taw-Tha,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF OS 214997,,(GB)GCCF OS 161638,(GB)GCCF OS 140034
344,Dubrova Beau Burma,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 075182,,(GB)GCCF NS 024187,(GB)GCCF NS 024801
345,Princesspolkadot,Perser (PER),,Hona,svarttabby (n 22),(GB)GCCF NS 024000 SR,,,
346,Jolandi Saphira Bleu,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 207508,,(GB)GCCF NS 055329,(GB)GCCF NS 146050
347,Sahra Sebastian,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 015534,,(GB)GCCF OS 244412,(GB)GCCF OS 214997
348,Sibir Zoe,Helig birma (SBI),,Hona,blåtabbymaskad (a 21),(GB)GCCF EX 032696,,(GB)GCCF NS 075182,(GB)GCCF NS 024000 SR
349,Tamandria Thaddeus,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 259945,,(GB)GCCF NS 055329,(GB)GCCF NS 207508
350,Lin Lin Kim,Helig birma (SBI),,Hona,blåtabbymaskad (a 21),(GB)GCCF EX 064700,,(GB)GCCF NS 015534,(GB)GCCF EX 032696
351,Julipaul Justin,Helig birma (SBI),1986-05-11,Hane,blåtabbymaskad (a 21),(GB)GCCF CS 029414 EXP  (SE)SVERAK RX 57479,,(GB)GCCF NS 259945,(GB)GCCF EX 064700
352,Dar es Salaam's Kaja,Helig birma (SBI),,Hona,brunmaskad (n),(DE)1.DEKZV LO 106041,,(DE)1.DEKZV LO 013126,(DE)1.DEKZV LO 013127
353,Godolphin's Esquire,Helig birma (SBI),,Hane,brunmaskad (n),(DE)1.DEKZV LO 033633,,(DE)1.DEKZV LO 005564,(DE)1.DEKZV LO 007620
354,Yasmin v. Rococo Schloss,Helig birma (SBI),,Hona,brunsköldpaddmaskad (f),(DE)1.DEKZV LO 062470,,(DE)1.DEKZV LO 044084,XLH g (SBI) ·
355,Namrib Quiksilva,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 143247 SR,,(GB)GCCF EX 154585,(GB)GCCF NS 225311
356,Rocheros Brandy,Helig birma (SBI),,Hona,chokladmaskad (b),(GB)GCCF CS 010984 EXP,,(GB)GCCF EX 154462,(GB)GCCF EX 154464
357,Myinkaba's Shan,Helig birma (SBI),,Hane,blåmaskad (a),(DE)1.DEKZV LO 106042,,(NL)NKS 24-799*IMP-GB,(DE)1.DEKZV LO 106041
358,Sinfonia von der Soester Boerde,Helig birma (SBI),,Hona,brunsköldpaddmaskad (f),(DE)1.DEKZV LO 075723,,(DE)1.DEKZV LO 033633,(DE)1.DEKZV LO 062470
359,Rocheros Royal Mint,Helig birma (SBI),1986-04-22,Hane,chokladmaskad (b),(GB)GCCF CS 019451 SR  (SE)SVERAK LO 56979,,(GB)GCCF NS 143247 SR,(GB)GCCF CS 010984 EXP
360,Fidelis von der Soester Boerde,Helig birma (SBI),1985-09-26,Hona,brunsköldpaddmaskad (f),(DE)1.DEKZV RX 107297  (SE)SVERAK RX 56791,,(DE)1.DEKZV LO 106042,(DE)1.DEKZV LO 075723
361,Eldholmen's Picasso,Helig birma (SBI),1987-07-29,Hane,rödmaskad (d),(SE)SVERAK LO 57548,,(SE)SVERAK LO 56979,(SE)SVERAK RX 56791
362,Mandessa Hester,Helig birma (SBI),1986-03-16,Hona,chokladmaskad (b),(GB)GCCF CS 010987 EXP  (SE)SVERAK LO 56934,CH,(GB)GCCF EX 154462,(GB)GCCF EX 154323
363,Eldholmen's Sunhunter,Helig birma (SBI),1987-09-27,Hane,blåmaskad (a),(SE)SVERAK LO 57663,,(SE)SVERAK LO 50303,(SE)SVERAK LO 56934
364,Tamandria Truffles,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 182721,,(GB)GCCF NS 055329,(GB)GCCF NS 24285
365,Shwechinthe Candice,Helig birma (SBI),,Hona,lilamaskad (c),(GB)GCCF EX 154024,,(GB)GCCF EX 062818,(GB)GCCF NS 048098 SR
366,Shwechinthe Ewok,Helig birma (SBI),,Hane,chokladmaskad (b),(GB)GCCF EX 154465,,(GB)GCCF NS 224668,(GB)GCCF NS 048503 SR
367,Shwechinthe Jinjarri,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 143218 SR,,(GB)GCCF NS 182721,(GB)GCCF NS 048098 SR
368,Shwechinthe Kazu,Helig birma (SBI),,Hane,chokladmaskad (b),(GB)GCCF EX 155643,,(GB)GCCF EX 154465,(GB)GCCF NS 143218 SR
369,Namrib Tyche,Helig birma (SBI),,Hona,chokladmaskad (b),(GB)GCCF EX 154693,,(GB)GCCF EX 154465,(GB)GCCF EX 154150
370,Namrib Kytang,Helig birma (SBI),1987-04-02,Hane,chokladmaskad (b),(GB)GCCF CS 032943 EXP  (SE)SVERAK LO 57817,,(GB)GCCF EX 155643,(GB)GCCF EX 154693
371,Sinh Jamuna af Silverbäcken,Helig birma (SBI),1973-06-30,Hona,brunmaskad (n),(SE)SVERAK LO 18364,,(SE)SVERAK LO 16125,(SE)SVERAK LO 12802
372,Sinh Iwanica af Silverbäcken,Helig birma (SBI),1979-03-20,Hona,brunmaskad (n),(SE)SVERAK LO 28083,,(SE)SVERAK LO 24283,(SE)SVERAK LO 18364
373,Kungsbackens Jakobella,Helig birma (SBI),1984-11-10,Hona,brunmaskad (n),(SE)SVERAK LO 50492,,(SE)SVERAK LO 24832,(SE)SVERAK LO 28083
374,S*Ellagårdens Baltsar,Helig birma (SBI),1987-11-20,Hane,brunmaskad (n),(SE)SVERAK LO 57869,EC,(SE)SVERAK LO 55489,(SE)SVERAK LO 50492
375,Shwechinthe Endelan,Helig birma (SBI),,Hane,chokladmaskad (b),(GB)GCCF EX 154151,,(GB)GCCF EX 065502,(GB)GCCF NS 048503 SR
376,Shwechinthe Salween,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 168423,,(GB)GCCF NS 093309,(GB)GCCF OS 241784
377,Shwechinthe Katha,Helig birma (SBI),,Hona,chokladmaskad (b),(GB)GCCF EX 154670,,(GB)GCCF EX 154151,(GB)GCCF NS 168423
378,Shwechinthe Palai,Helig birma (SBI),,Hona,lilamaskad (c),(GB)GCCF EX 155507,,(GB)GCCF EX 154694,(GB)GCCF EX 154670
379,Shwechinthe Jedi,Helig birma (SBI),1987-06-13,Hane,chokladmaskad (b),(GB)GCCF CS 042858 EXP  (SE)SVERAK LO 59550,,(GB)GCCF EX 155643,(GB)GCCF EX 155507
380,Omar Khrishna,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 094085,,(GB)GCCF NS 013169,(GB)GCCF NS 033625
381,Mandessa Coral,Helig birma (SBI),,Hona,chokladmaskad (b),(GB)GCCF EX 065758,,(GB)GCCF EX 062818,(GB)GCCF NS 048099 SR
382,Shwechinthe Mandessa,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 023604 SR,,(GB)GCCF OS 228528,(GB)GCCF OS 241784
383,Mandessa Abygail,EJ GODKÄND KORTHÅR (XSH),,Hona,brunmaskad (n 33 (SBI)),(GB)GCCF NS 039673 SR,,(GB)GCCF OS 207550,(GB)GCCF OS 256777
384,Fillyside Ben Huir,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 094555,CH,(GB)GCCF OS 255915,(GB)GCCF NS 038505
385,Clarelin Jhana,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 133673,,(GB)GCCF NS 093309,(GB)GCCF NS 106500
386,Boisland Bellisima,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 094068,,(GB)GCCF NS 034224,(GB)GCCF NS 013205
387,Clarelin Kasino,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 169125,,(GB)GCCF NS 094555,(GB)GCCF NS 133673
388,Marcha Mitten,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 225321,,(GB)GCCF NS 092341,(GB)GCCF NS 094068
389,Lowmita Elsa,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 263430,,(GB)GCCF NS 169125,(GB)GCCF NS 225321
390,Adreelo Fiery Jack,Helig birma (SBI),1985-06-29,Hane,blåmaskad (a),(GB)GCCF NS 143518 SR  (SE)SVERAK RX 59932,,(GB)GCCF EX 154585,(GB)GCCF NS 263430
391,Shwechinthe Susie,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 238613,,(GB)GCCF EX 154026,(GB)GCCF EX 154024
392,Viemora Kapok,Helig birma (SBI),,Hane,lilamaskad (c),(GB)GCCF EX 155658,,(GB)GCCF EX 154694,(GB)GCCF NS 238613
393,Shwechinthe Abygail,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 261285,,(GB)GCCF NS 211959,(GB)GCCF NS 238613
394,Shwechinthe Viemora,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 143214 SR,,(GB)GCCF EX 154465,(GB)GCCF NS 261285
395,Viemora Mellissa,Helig birma (SBI),,Hona,chokladmaskad (b),(GB)GCCF CS 049288 EXP,,(GB)GCCF EX 155658,(GB)GCCF NS 143214 SR
396,Adixilo Glenholland,Helig birma (SBI),1988-03-14,Hane,chokladmaskad (b),(GB)GCCF CS 061760 EXP  (SE)SVERAK LO 82634,,(SE)SVERAK RX 59932,(GB)GCCF CS 049288 EXP
397,Archangelsks Vasil,Russian blue (RUS),1970-07-22,Hane,blå (x),(SE)SVERAK LO 15013,IC,(SE)SVERAK LO 9379,(FI)SRK LO 1267
398,Guldvingens Molly,Russian blue (RUS),1966-05-16,Hona,blå (x),(SE)SVERAK LO 9377,IC,(SE)SVERAK LO 5281,(SE)SVERAK LO 8135
399,Guldvingens Musse,Russian blue (RUS),1966-05-16,Hane,blå (x),(SE)SVERAK LO 9379,IC,(SE)SVERAK LO 5281,(SE)SVERAK LO 8135
400,Blue Moon af Mölleby,Russian blue (RUS),1958-05-31,Hona,blå (x),(SE)SVERAK LO 2600,,(SE)SVERAK LO 2293,(SE)SVERAK LO 2599
401,Astu Fiona,Russian blue (RUS),1969-06-06,Hona,blå (x),(SE)SVERAK LO 12879,,(DK)LDR 6189,(SE)SVERAK LO 10499
402,Franciszek Michajlow,Russian blue (RUS),1971-08-29,Hane,blå (x),(SE)SVERAK LO 17144,,(SE)SVERAK LO 9379,(SE)SVERAK LO 5249
403,Dalecarlias Blue Lavendel,Russian blue (RUS),1966-10-16,Hona,blå (x),(SE)SVERAK LO 10193,IC,(SE)SVERAK LO 5281,(SE)SVERAK LO 7523
404,Guldvingens Felix,Russian blue (RUS),1973-01-14,Hane,blå (x),(SE)SVERAK LO 19459,,(SE)SVERAK LO 15013,(SE)SVERAK LO 9377
405,Tinnerdalens Grusja,Russian blue (RUS),1969-04-10,Hona,blå (x),(SE)SVERAK LO 12702,,(SE)SVERAK LO 9379,(SE)SVERAK LO 2600
406,Fjällvinge Alexander,Russian blue (RUS),1972-04-06,Hane,blå (x),(SE)SVERAK LO 17716,,(SE)SVERAK LO 9379,(SE)SVERAK LO 12879
407,Tricolor Ljubana,Russian blue (RUS),1972-12-03,Hona,blå (x),(SE)SVERAK LO 19285,,(SE)SVERAK LO 17144,(SE)SVERAK LO 10193
408,Sergej af Solitaire,Russian blue (RUS),1976-05-23,Hane,blå (x),(SE)SVERAK LO 23904,,(SE)SVERAK LO 19459,(SE)SVERAK LO 12702
409,Skvallergränds Olga Alexandrovna,Russian blue (RUS),1974-12-27,Hona,blå (x),(SE)SVERAK LO 21755,GIC,(SE)SVERAK LO 17716,(SE)SVERAK LO 19285
410,Skvallergränds Lara,Russian blue (RUS),1977-11-01,Hona,blå (x),(SE)SVERAK LO 27055,EC,(SE)SVERAK LO 23904,(SE)SVERAK LO 21755
411,Sylphides Topo,Russian blue (RUS),1965-04-24,Hane,blå (x),(GB)GCCF OS 137172  (SE)SVERAK LO 8589,IC,(GB)GCCF OS 117117,(GB)GCCF OS 093774
412,Kabbarps Iris,Russian blue (RUS),1965-05-19,Hona,blå (x),(SE)SVERAK LO 8318,IC,(SE)SVERAK LO 5707,(SE)SVERAK LO 6320
413,Bounty-Blue Lefine,Russian blue (RUS),,Hane,blå (x),(GB)GCCF 187564,,(DK)LDR 6189,(DK)LDR 6729
414,Jennymay Butterfly,Russian blue (RUS),,Hona,blå (x),(GB)GCCF 203757,,(GB)GCCF 186643,(GB)GCCF 161631
415,Tinnerdalens Tatjana,Russian blue (RUS),1961-12-05,Hona,blå (x),(SE)SVERAK LO 5249,,(SE)SVERAK LO 4442,(SE)SVERAK LO 2600
416,Astu Grimjor,Russian blue (RUS),1971-01-08,Hane,blå (x),(SE)SVERAK LO 15530,,(SE)SVERAK LO 9379,(SE)SVERAK LO 10499
417,Mistelgårdens Nadina,Russian blue (RUS),1966-08-12,Hona,blå (x),(SE)SVERAK LO 9500,,(SE)SVERAK LO 5281,(SE)SVERAK LO 7522
418,Kabbarps Blue Iris,Russian blue (RUS),1968-07-19,Hane,blå (x),(GB)GCCF 186643  (SE)SVERAK LO 12074,,(SE)SVERAK LO 8589,(SE)SVERAK LO 8318
419,Mindon Annis,Russian blue (RUS),,Hona,blå (x),(GB)GCCF 234861,,(GB)GCCF 187564,(GB)GCCF 203757
420,Katinka,Russian blue (RUS),1973-07-04,Hona,blå (x),(SE)SVERAK LO 19001,,(SE)SVERAK LO 15530,(SE)SVERAK LO 9500
421,Jennymay Troika Beau,Russian blue (RUS),1973-06-18,Hane,blå (x),(GB)GCCF OS 260079  (SE)SVERAK LO 18704,IC,(GB)GCCF 186643,(GB)GCCF 234861
422,Mon Amies Guapa,Russian blue (RUS),1974-01-05,Hona,blå (x),(SE)SVERAK LO 21096,IC,(SE)SVERAK LO 17144,(SE)SVERAK LO 19001
423,Tormes Beau Aminoff,Russian blue (RUS),1978-04-09,Hane,blå (x),(SE)SVERAK LO 27451,,(SE)SVERAK LO 18704,(SE)SVERAK LO 21096
424,Rindy's Haven Silver-Ron of Happy Days,Russian blue (RUS),,Hane,blå (x),(US)CFA 500-0485 V104,,(US)CFA 0500-000387 V102,(US)CFA 0501-000371 V102
425,Emerald Lulubell of Happy Days,Russian blue (RUS),,Hona,blå (x),(US)CFA 501-0649 V104,,(US)CFA 0500-000399,(US)CFA 0501-000324
426,Astu Dascha,Russian blue (RUS),1967-05-25,Hona,blå (x),(SE)SVERAK LO 10499,,(SE)SVERAK LO 8589,(SE)SVERAK LO 7713
427,Kabbarps Krista,Russian blue (RUS),1968-07-19,Hona,blå (x),(FI)SRK LO 1267  (SE)SVERAK LO 12081,IC,(SE)SVERAK LO 7888,(SE)SVERAK LO 7176
428,Happy Days Kosack,Russian blue (RUS),1973-01-26,Hane,blå (x),(SE)SVERAK LO 18609  (US)CFA 0500-000807,,(US)CFA 500-0485 V104,(US)CFA 501-0649 V104
429,Guldvingens Felicia,Russian blue (RUS),1973-12-06,Hona,blå (x),(SE)SVERAK LO 21082,,(SE)SVERAK LO 15013,(SE)SVERAK LO 9377
430,Astu Golitsyn,Russian blue (RUS),1971-01-08,Hane,blå (x),(SE)SVERAK LO 15531,,(SE)SVERAK LO 9379,(SE)SVERAK LO 10499
431,Archangelsks Serebrjanka,Russian blue (RUS),1970-07-22,Hona,blå (x),(SE)SVERAK LO 15015,IC,(SE)SVERAK LO 9379,(FI)SRK LO 1267
432,Guldvingens Konstantin,Russian blue (RUS),1976-06-11,Hane,blå (x),(SE)SVERAK LO 23890,,(SE)SVERAK LO 18609,(SE)SVERAK LO 21082
433,Bianka av Heligholm,Russian blue (RUS),1973-04-18,Hona,blå (x),(SE)SVERAK LO 19665,,(SE)SVERAK LO 15531,(SE)SVERAK LO 15015
434,Heligholms Asko,Russian blue (RUS),1978-06-29,Hane,blå (x),(SE)SVERAK LO 27964,,(SE)SVERAK LO 23890,(SE)SVERAK LO 19665
435,Blue Misja av Arvidsborg,Russian blue (RUS),1972-08-18,Hona,blå (x),(SE)SVERAK LO 18503,CH,(SE)SVERAK LO 15013,(SE)SVERAK LO 15711
436,Mästerkattens Silver Nikolaj,Russian blue (RUS),1975-08-16,Hane,blå (x),(SE)SVERAK LO 23185,,(SE)SVERAK LO 17716,(SE)SVERAK LO 18503
437,Guldvingens Alexander,Russian blue (RUS),1977-01-19,Hane,blå (x),(SE)SVERAK LO 25496,CH,(SE)SVERAK LO 23185,(SE)SVERAK LO 21082
438,Skvallergränds Jora Alexandrovitj,Russian blue (RUS),1979-01-03,Hane,blå (x),(SE)SVERAK LO 29352,IC,(SE)SVERAK LO 25496,(SE)SVERAK LO 21755
439,Broadweir Tamaroff,Russian blue (RUS),,Hane,blå (x),(GB)GCCF 188062,,(GB)GCCF 152458,(GB)GCCF 152936
440,Zatasha Mariska,Russian blue (RUS),,Hona,blå (x),(GB)GCCF 257403,,(GB)GCCF 239787,(GB)GCCF 221061
441,Sylphides Katerina,Russian blue (RUS),,Hona,blå (x),(GB)GCCF 212276,,(GB)GCCF 145869,(GB)GCCF 190215
442,Broadweir Valdikler,Russian blue (RUS),,Hane,blå (x),(GB)GCCF NS 020873,,(GB)GCCF 188062,(GB)GCCF 257403
443,Cadenza Moonwind,Russian blue (RUS),,Hona,blå (x),(GB)GCCF 254806,,(GB)GCCF 186643,(GB)GCCF 212276
444,Kasheba Blue Wind,Russian blue (RUS),1977-05-10,Hona,blå (x),(GB)GCCF NS 069849  (SE)SVERAK LO 27550,,(GB)GCCF NS 020873,(GB)GCCF 254806
445,Bam-Bam's Glinka,Russian blue (RUS),1979-02-28,Hona,blå (x),(SE)SVERAK LO 29610,,(SE)SVERAK LO 25496,(SE)SVERAK LO 27550
446,San-T-Ree Tzarina,Russian blue (RUS),1973-02-17,Hona,blå (x),(SE)SVERAK LO 19536,,(SE)SVERAK LO 15013,(SE)SVERAK LO 15711
447,Ohl av Olsenburg,Russian blue (RUS),1961-09-16,Hane,blå (x),(SE)SVERAK LO 5281,IC,(SE)SVERAK LO 2295,(SE)SVERAK LO 1714
448,Marisjka af Braheborg,Russian blue (RUS),1965-02-03,Hona,blå (x),(SE)SVERAK LO 8135,,(SE)SVERAK LO 5707,(SE)SVERAK LO 3782
449,Skvallergränds Igor Alexandrovitj,Russian blue (RUS),1974-12-27,Hane,blå (x),(SE)SVERAK LO 21754,,(SE)SVERAK LO 17716,(SE)SVERAK LO 19285
450,Bodas Andruchka,Russian blue (RUS),1975-02-17,Hona,blå (x),(SE)SVERAK LO 21869,,(SE)SVERAK LO 18609,(SE)SVERAK LO 19536
451,Celemas Benjamin,Russian blue (RUS),1977-05-24,Hane,blå (x),(SE)SVERAK LO 25885,IC,(SE)SVERAK LO 21754,(SE)SVERAK LO 21869
452,Guldvingens Marina,Russian blue (RUS),1979-07-10,Hona,blå (x),(SE)SVERAK LO 29951,,(SE)SVERAK LO 25885,(SE)SVERAK LO 21082
453,Ludmilla af Solitaire,Russian blue (RUS),1975-06-01,Hona,blå (x),(SE)SVERAK LO 23271,,(SE)SVERAK LO 19459,(SE)SVERAK LO 12702
454,Blue Velvet's Katinka,Russian blue (RUS),1979-11-26,Hona,blå (x),(SE)SVERAK LO 31061,,(SE)SVERAK LO 25885,(SE)SVERAK LO 23271
455,Guldvingens Igor,Russian blue (RUS),1977-01-19,Hane,blå (x),(SE)SVERAK LO 25497,,(SE)SVERAK LO 23185,(SE)SVERAK LO 21082
456,Skvallergränds Silver Grushenka,Russian blue (RUS),1977-02-02,Hona,blå (x),(SE)SVERAK LO 25555,IC,(SE)SVERAK LO 18704,(SE)SVERAK LO 21755
457,Rådsbackens Tanja,Russian blue (RUS),1978-05-29,Hona,blå (x),(SE)SVERAK LO 27724,IC,(SE)SVERAK LO 25497,(SE)SVERAK LO 25555
458,Rådsbackens Andrej,Russian blue (RUS),1980-01-08,Hane,blå (x),(SE)SVERAK LO 31189,"GIP,,,GIC",(SE)SVERAK LO 25885,(SE)SVERAK LO 27724
459,Guldvingens Tatiana,Russian blue (RUS),1975-11-24,Hona,blå (x),(SE)SVERAK LO 23481,,(SE)SVERAK LO 18609,(SE)SVERAK LO 9377
460,Skvallergränds Blue Grisha,Russian blue (RUS),1977-02-02,Hane,blå (x),(SE)SVERAK LO 25553,,(SE)SVERAK LO 18704,(SE)SVERAK LO 21755
461,Mirja,Russian blue (RUS),1977-03-21,Hona,blå (x),(SE)SVERAK LO 25603,,(SE)SVERAK LO 23185,(SE)SVERAK LO 23481
462,Tarinas Sinj Katinko,Russian blue (RUS),1978-06-04,Hane,blå (x),(SE)SNRF R 105  (SE)SVERAK LO 31257,,(SE)SVERAK LO 25553,(SE)SVERAK LO 25603
463,Bam-Bam's Julia,Russian blue (RUS),1980-01-22,Hona,blå (x),(SE)SVERAK LO 31270,EC,(SE)SVERAK LO 31257,(SE)SVERAK LO 27550
464,Guldvingens Boris,Russian blue (RUS),1978-07-27,Hane,blå (x),(SE)SVERAK LO 27904,,(SE)SVERAK LO 25553,(SE)SVERAK LO 21082
465,Petrowska af Solitaire,Russian blue (RUS),1975-06-01,Hona,blå (x),(SE)SVERAK LO 23273,,(SE)SVERAK LO 19459,(SE)SVERAK LO 12702
466,Blue Velvet's Serjozja,Russian blue (RUS),1980-06-08,Hane,blå (x),(SE)SVERAK LO 31430,,(SE)SVERAK LO 27904,(SE)SVERAK LO 23273
467,Tsaritzas Pamina,Russian blue (RUS),1982-04-11,Hona,blå (x),(SE)SVERAK LO 35258,IC,(SE)SVERAK LO 31189,(SE)SVERAK LO 29610
